Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5fwRhPXAvGgzUxW62ZCvEg,"Woh Lamhe Woh Baatein","Zeher","Atif Aslam",2005-03-25,320040,3,,2023-01-21T03:01:35Z,"classic pakistani pop,filmi,modern bollywood,sufi","Saregama India Ltd",0.465,0.822,8,-4.826,0,0.066,0.136,0.000442,0.0898,0.405,89.761,4
0XER3HPMx223xWaAgNKp4Y,"My Mind & Me","My Mind & Me","Selena Gomez",2022-11-03,147597,59,,2023-01-18T18:02:48Z,"pop,post-teen pop","Interscope Records",0.587,0.385,9,-5.781,1,0.0341,0.573,0,0.0848,0.209,143.772,4
0WtM2NBVQNNJLh6scP13H8,"Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema,Selena Gomez",2022-08-25,239317,79,,2023-01-18T17:23:30Z,"afrobeats,nigerian pop,pop,post-teen pop","Mavin Records / Jonzing World",0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
5WxVXxCMRnvxUKFq40ELwq,"Escapism.","Escapism. (Sped Up)","RAYE,070 Shake",2022-11-25,272373,25,,2023-01-18T17:23:14Z,"uk contemporary r&b,uk pop,new jersey rap","Human Re Sources",0.538,0.742,2,-5.355,1,0.114,0.138,0.0000467,0.0934,0.25,96.107,4
3G5iN5QBqMeXx3uZPy8tgB,"Young Girls","Unorthodox Jukebox","Bruno Mars",2012-12-07,228720,66,,2023-01-18T16:32:10Z,"dance pop,pop","Atlantic Records",0.561,0.749,6,-4.951,0,0.032,0.461,0.00000182,0.205,0.501,125.986,4
23xgRYhf7NbleK53LGwgAp,"","","",0000,0,0,,2023-01-16T18:03:15Z,"","",0.632,0.91,9,-7.032,1,0.175,0.0144,0.00527,0.307,0.546,159.943,4
3Feda69zjFHpUaJtJskq7N,"Celebration Of Varisu (From Varisu)","Celebration Of Varisu (From Varisu)","Thaman S",2023-01-13,168153,48,,2023-01-16T13:38:18Z,"new beat,tamil pop","T-Series",0.679,0.918,8,-7.967,1,0.165,0.724,0.974,0.085,0.446,140.097,4
10XG8WGYgiQRBmbEaffnfi,"Varaha Roopam Daiva Va Rishtam","Kantara (Original Motion Picture Soundtrack)","B. Ajaneesh Loknath,Sai Vignesh",2022-10-12,276416,0,,2023-01-11T15:41:19Z,"sandalwood","Hombale Films",0.525,0.751,0,-6.617,1,0.0572,0.0526,0.0265,0.458,0.387,161.944,4
2FHkcCJTEBi0HbyJiRsN1c,"Hello Taqdeer (Violin)","Hello Taqdeer (Violin)","Mohammad Jihad Hasan",2022-09-27,168012,0,,2023-01-09T04:11:31Z,"","Quota Tune",0.303,0.35,2,-11.521,0,0.0594,0.916,0.00492,0.103,0.255,82.414,4
1qbbe3NDhzji6McfE0semr,"Zaraa Dil Ko Thaam Lo","Don 2","Anusha Mani,Vishal Dadlani",2011-11-16,308316,44,,2023-01-07T16:28:39Z,"modern bollywood,filmi","T-Series",0.611,0.646,10,-7.086,1,0.0281,0.0475,0.0152,0.0416,0.527,129.989,4
4bPF3oy4JsKK1UeMMn7Byf,"Aaj Ki Raat","Don","Alisha Chinai,Mahalakshmi Iyer,Sonu Nigam",2006-08-31,368480,55,,2023-01-07T15:47:53Z,"filmi,modern bollywood","T-Series",0.738,0.823,1,-6.966,0,0.0658,0.00992,0.00627,0.0871,0.923,137,4
50iiDJGpAPdr2VTrz999XA,"House Of Balloons / Glass Table Girls","Trilogy","The Weeknd",2012-11-13,405213,71,,2023-01-07T04:49:13Z,"canadian contemporary r&b,canadian pop,pop","CP Records",0.65,0.711,0,-5.417,1,0.0377,0.0121,0.00995,0.301,0.32,89.019,4
44SLIY72XGhntZIl2oRFox,"Sita Ramam Theme (Tamil)","Sita Ramam (Tamil) (Extended Version) [Original Motion Picture Soundtrack]","Vishal Chandrashekhar",2022-09-08,214292,34,,2023-01-02T13:44:45Z,"tamil pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.423,0.362,7,-10.708,1,0.0273,0.707,0.961,0.111,0.142,95.047,1
5uSFGgIfHMT3osrAd9n9ym,"Forget Me","Forget Me","Lewis Capaldi",2022-09-09,203472,9,,2023-01-02T04:34:34Z,"pop,uk pop","Vertigo Berlin",0.437,0.746,1,-3.537,0,0.0846,0.255,0,0.37,0.688,203.835,4
0V3wPSX9ygBnCm8psDIegu,"Anti-Hero","Midnights","Taylor Swift",2022-10-21,200690,81,,2023-01-01T11:37:27Z,"pop","Taylor Swift",0.633,0.648,4,-6.645,1,0.062,0.121,0.00000262,0.161,0.49,96.888,4
4v7DCN09hgXkKazefkznDQ,"Lonely","Trouble Deluxe Edition","Akon",2005-01-01,235800,77,,2023-01-01T09:10:52Z,"dance pop","SRC Records",0.634,0.526,5,-7.881,0,0.0333,0.339,0,0.257,0.623,90.087,4
4zrKN5Sv8JS5mqnbVcsul7,"Celestial","Celestial","Ed Sheeran",2022-09-29,209026,66,,2023-01-01T09:01:12Z,"pop,singer-songwriter pop,uk pop","Atlantic Records UK",0.574,0.852,2,-1.248,1,0.0397,0.0529,0,0.161,0.501,123.038,4
38T0tPVZHcPZyhtOcCP7pF,"STAR WALKIN' (League of Legends Worlds Anthem)","STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X",2022-09-22,210575,69,,2023-01-01T06:50:57Z,"lgbtq+ hip hop","Columbia",0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872,4
0uQWJdubEHr5qEj0GzK3wa,"Mugamoodi","Putham Pudhu Kaalai Vidiyaadhaa (Original Soundtrack)","Kaber Vasuki",2022-01-07,270848,7,,2022-12-30T13:16:38Z,"chennai indie","Amazon Seller Services",0.572,0.664,9,-7.979,0,0.0375,0.151,0.00222,0.0881,0.2,103.028,4
3Vo4wInECJQuz9BIBMOu8i,"Finesse - Remix; feat. Cardi B","Finesse (Remix) [feat. Cardi B]","Bruno Mars,Cardi B",2017-12-20,217288,73,,2022-12-24T03:39:41Z,"dance pop,pop,rap","Atlantic Records",0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,4
0M3HkE321xpCbCYqVKzr1q,"It Will Rain","It Will Rain","Bruno Mars",2011-09-28,257720,80,,2022-12-24T03:17:50Z,"dance pop,pop","Elektra (NEK)",0.576,0.835,2,-6.826,1,0.0486,0.337,0,0.082,0.476,150.017,4
